"","Team","Country","Score","Year"
"1","Real Madrid CF","ESP",11,"1995-1996"
"2","Borussia Dortmund","GER",8,"1995-1996"
"3","Atletico Madrid","ESP",12,"1996-1997"
"4","Borussia Dortmund","GER",14,"1996-1997"
"5","FC Barcelona","ESP",7,"1997-1998"
"6","Real Madrid CF","ESP",15,"1997-1998"
"7","Bayer 04 Leverkusen","GER",11,"1997-1998"
"8","Bayern München","GER",13,"1997-1998"
"9","Borussia Dortmund","GER",14,"1997-1998"
"10","Athletic Bilbao","ESP",5,"1998-1999"
"11","FC Barcelona","ESP",11,"1998-1999"
"12","Real Madrid CF","ESP",17,"1998-1999"
"13","1. FC Kaiserslautern","GER",12,"1998-1999"
"14","Bayern München","GER",9,"1998-1999"
"15","FC Barcelona","ESP",19,"1999-2000"
"16","Real Madrid CF","ESP",15,"1999-2000"
"17","Valencia CF","ESP",8,"1999-2000"
"18","Bayer 04 Leverkusen","GER",7,"1999-2000"
"19","Bayern München","GER",7,"1999-2000"
"20","Borussia Dortmund","GER",7,"1999-2000"
"21","Hertha BSC","GER",7,"1999-2000"
"22","Deportivo La Coruna","ESP",6,"2000-2001"
"23","FC Barcelona","ESP",13,"2000-2001"
"24","Real Madrid CF","ESP",15,"2000-2001"
"25","Valencia CF","ESP",7,"2000-2001"
"26","Bayer 04 Leverkusen","GER",9,"2000-2001"
"27","Bayern München","GER",9,"2000-2001"
"28","Hamburger SV","GER",9,"2000-2001"
"29","Deportivo La Coruna","ESP",10,"2001-2002"
"30","FC Barcelona","ESP",12,"2001-2002"
"31","RCD Mallorca","ESP",4,"2001-2002"
"32","Real Madrid CF","ESP",13,"2001-2002"
"33","Bayer 04 Leverkusen","GER",10,"2001-2002"
"34","Bayern München","GER",14,"2001-2002"
"35","Borussia Dortmund","GER",6,"2001-2002"
"36","FC Schalke 04","GER",9,"2001-2002"
"37","Deportivo La Coruna","ESP",11,"2002-2003"
"38","FC Barcelona","ESP",13,"2002-2003"
"39","Real Madrid CF","ESP",15,"2002-2003"
"40","Valencia CF","ESP",17,"2002-2003"
"41","Bayer 04 Leverkusen","GER",9,"2002-2003"
"42","Bayern München","GER",9,"2002-2003"
"43","Borussia Dortmund","GER",8,"2002-2003"
"44","Celta Vigo","ESP",7,"2003-2004"
"45","Deportivo La Coruna","ESP",12,"2003-2004"
"46","Real Madrid CF","ESP",11,"2003-2004"
"47","Real Sociedad","ESP",8,"2003-2004"
"48","Bayern München","GER",6,"2003-2004"
"49","VfB Stuttgart","GER",9,"2003-2004"
"50","FC Barcelona","ESP",16,"2005-2006"
"51","Real Betis","ESP",3,"2005-2006"
"52","Real Madrid CF","ESP",10,"2005-2006"
"53","Villarreal CF","ESP",3,"2005-2006"
"54","Bayern München","GER",10,"2005-2006"
"55","FC Schalke 04","GER",12,"2005-2006"
"56","Werder Bremen","GER",12,"2005-2006"
"57","FC Barcelona","ESP",12,"2006-2007"
"58","Real Madrid CF","ESP",14,"2006-2007"
"59","Valencia CF","ESP",12,"2006-2007"
"60","Bayern München","GER",10,"2006-2007"
"61","Hamburger SV","GER",7,"2006-2007"
"62","Werder Bremen","GER",7,"2006-2007"
"63","FC Barcelona","ESP",12,"2007-2008"
"64","Real Madrid CF","ESP",13,"2007-2008"
"65","Sevilla FC","ESP",14,"2007-2008"
"66","Valencia CF","ESP",2,"2007-2008"
"67","FC Schalke 04","GER",5,"2007-2008"
"68","VfB Stuttgart","GER",7,"2007-2008"
"69","Werder Bremen","GER",8,"2007-2008"
"70","Atletico Madrid","ESP",9,"2008-2009"
"71","FC Barcelona","ESP",18,"2008-2009"
"72","Real Madrid CF","ESP",9,"2008-2009"
"73","Villarreal CF","ESP",9,"2008-2009"
"74","Bayern München","GER",12,"2008-2009"
"75","Werder Bremen","GER",7,"2008-2009"
"76","Atletico Madrid","ESP",3,"2009-2010"
"77","FC Barcelona","ESP",7,"2009-2010"
"78","Real Madrid CF","ESP",15,"2009-2010"
"79","Sevilla FC","ESP",11,"2009-2010"
"80","Bayern München","GER",9,"2009-2010"
"81","VfB Stuttgart","GER",9,"2009-2010"
"82","VfL Wolfsburg","GER",9,"2009-2010"
"83","FC Barcelona","ESP",14,"2010-2011"
"84","Real Madrid CF","ESP",15,"2010-2011"
"85","Valencia CF","ESP",15,"2010-2011"
"86","Bayern München","GER",16,"2010-2011"
"87","FC Schalke 04","GER",10,"2010-2011"
"88","Werder Bremen","GER",6,"2010-2011"
"89","Atletico Madrid","ESP",15,"2013-2014"
"90","FC Barcelona","ESP",16,"2013-2014"
"91","Real Madrid CF","ESP",20,"2013-2014"
"92","Real Sociedad","ESP",1,"2013-2014"
"93","Bayer 04 Leverkusen","GER",9,"2013-2014"
"94","Bayern München","GER",17,"2013-2014"
"95","Borussia Dortmund","GER",11,"2013-2014"
"96","FC Schalke 04","GER",6,"2013-2014"
"97","Athletic Bilbao","ESP",5,"2014-2015"
"98","Atletico Madrid","ESP",14,"2014-2015"
"99","FC Barcelona","ESP",15,"2014-2015"
"100","Real Madrid CF","ESP",16,"2014-2015"
"101","Bayer 04 Leverkusen","GER",7,"2014-2015"
"102","Bayern München","GER",16,"2014-2015"
"103","Borussia Dortmund","GER",14,"2014-2015"
"104","FC Schalke 04","GER",9,"2014-2015"
"105","Atletico Madrid","ESP",11,"2015-2016"
"106","FC Barcelona","ESP",15,"2015-2016"
"107","Real Madrid CF","ESP",19,"2015-2016"
"108","Sevilla FC","ESP",8,"2015-2016"
"109","Valencia CF","ESP",5,"2015-2016"
"110","Bayer 04 Leverkusen","GER",13,"2015-2016"
"111","Bayern München","GER",19,"2015-2016"
"112","Borussia Monchengladbach","GER",8,"2015-2016"
"113","VfL Wolfsburg","GER",9,"2015-2016"
