"","Team","Country","Score","Year"
"1","Real Madrid CF","ESP",11,"1995-1996"
"2","Borussia Dortmund","GER",8,"1995-1996"
"3","Atletico Madrid","ESP",12,"1996-1997"
"4","Borussia Dortmund","GER",14,"1996-1997"
"5","FC Barcelona","ESP",7,"1997-1998"
"6","Real Madrid CF","ESP",15,"1997-1998"
"7","Bayer 04 Leverkusen","GER",11,"1997-1998"
"8","Bayern München","GER",13,"1997-1998"
"9","Borussia Dortmund","GER",14,"1997-1998"
"10","Athletic Bilbao","ESP",5,"1998-1999"
"11","FC Barcelona","ESP",11,"1998-1999"
"12","Real Madrid CF","ESP",17,"1998-1999"
"13","1. FC Kaiserslautern","GER",12,"1998-1999"
"14","Bayern München","GER",9,"1998-1999"
"15","FC Barcelona","ESP",19,"1999-2000"
"16","Real Madrid CF","ESP",15,"1999-2000"
"17","Valencia CF","ESP",8,"1999-2000"
"18","Bayer 04 Leverkusen","GER",7,"1999-2000"
"19","Bayern München","GER",7,"1999-2000"
"20","Borussia Dortmund","GER",7,"1999-2000"
"21","Hertha BSC","GER",7,"1999-2000"
"22","Deportivo La Coruna","ESP",6,"2000-2001"
"23","FC Barcelona","ESP",13,"2000-2001"
"24","Real Madrid CF","ESP",15,"2000-2001"
"25","Valencia CF","ESP",7,"2000-2001"
"26","Bayer 04 Leverkusen","GER",9,"2000-2001"
"27","Bayern München","GER",9,"2000-2001"
"28","Hamburger SV","GER",9,"2000-2001"
"29","Deportivo La Coruna","ESP",10,"2001-2002"
"30","FC Barcelona","ESP",12,"2001-2002"
"31","RCD Mallorca","ESP",4,"2001-2002"
"32","Real Madrid CF","ESP",13,"2001-2002"
"33","Bayer 04 Leverkusen","GER",10,"2001-2002"
"34","Bayern München","GER",14,"2001-2002"
"35","Borussia Dortmund","GER",6,"2001-2002"
"36","FC Schalke 04","GER",9,"2001-2002"
"37","Deportivo La Coruna","ESP",11,"2002-2003"
"38","FC Barcelona","ESP",13,"2002-2003"
"39","Real Madrid CF","ESP",15,"2002-2003"
"40","Valencia CF","ESP",17,"2002-2003"
"41","Bayer 04 Leverkusen","GER",9,"2002-2003"
"42","Bayern München","GER",9,"2002-2003"
"43","Borussia Dortmund","GER",8,"2002-2003"
"44","Celta Vigo","ESP",7,"2003-2004"
"45","Deportivo La Coruna","ESP",12,"2003-2004"
"46","Real Madrid CF","ESP",11,"2003-2004"
"47","Real Sociedad","ESP",8,"2003-2004"
"48","Bayern München","GER",6,"2003-2004"
"49","VfB Stuttgart","GER",9,"2003-2004"
"50","Deportivo La Coruna","ESP",0,"2004-2005"
"51","FC Barcelona","ESP",9,"2004-2005"
"52","Real Madrid CF","ESP",11,"2004-2005"
"53","Valencia CF","ESP",6,"2004-2005"
"54","Bayer 04 Leverkusen","GER",13,"2004-2005"
"55","Bayern München","GER",12,"2004-2005"
"56","Werder Bremen","GER",12,"2004-2005"
"57","FC Barcelona","ESP",16,"2005-2006"
"58","Real Betis","ESP",3,"2005-2006"
"59","Real Madrid CF","ESP",10,"2005-2006"
"60","Villarreal CF","ESP",3,"2005-2006"
"61","Bayern München","GER",10,"2005-2006"
"62","FC Schalke 04","GER",12,"2005-2006"
"63","Werder Bremen","GER",12,"2005-2006"
"64","FC Barcelona","ESP",12,"2006-2007"
"65","Real Madrid CF","ESP",14,"2006-2007"
"66","Valencia CF","ESP",12,"2006-2007"
"67","Bayern München","GER",10,"2006-2007"
"68","Hamburger SV","GER",7,"2006-2007"
"69","Werder Bremen","GER",7,"2006-2007"
"70","FC Barcelona","ESP",12,"2007-2008"
"71","Real Madrid CF","ESP",13,"2007-2008"
"72","Sevilla FC","ESP",14,"2007-2008"
"73","Valencia CF","ESP",2,"2007-2008"
"74","FC Schalke 04","GER",5,"2007-2008"
"75","VfB Stuttgart","GER",7,"2007-2008"
"76","Werder Bremen","GER",8,"2007-2008"
"77","Atletico Madrid","ESP",9,"2008-2009"
"78","FC Barcelona","ESP",18,"2008-2009"
"79","Real Madrid CF","ESP",9,"2008-2009"
"80","Villarreal CF","ESP",9,"2008-2009"
"81","Bayern München","GER",12,"2008-2009"
"82","Werder Bremen","GER",7,"2008-2009"
"83","Atletico Madrid","ESP",3,"2009-2010"
"84","FC Barcelona","ESP",7,"2009-2010"
"85","Real Madrid CF","ESP",15,"2009-2010"
"86","Sevilla FC","ESP",11,"2009-2010"
"87","Bayern München","GER",9,"2009-2010"
"88","VfB Stuttgart","GER",9,"2009-2010"
"89","VfL Wolfsburg","GER",9,"2009-2010"
"90","FC Barcelona","ESP",14,"2010-2011"
"91","Real Madrid CF","ESP",15,"2010-2011"
"92","Valencia CF","ESP",15,"2010-2011"
"93","Bayern München","GER",16,"2010-2011"
"94","FC Schalke 04","GER",10,"2010-2011"
"95","Werder Bremen","GER",6,"2010-2011"
"96","FC Barcelona","ESP",11,"2012-2013"
"97","Malaga CF","ESP",12,"2012-2013"
"98","Real Madrid CF","ESP",15,"2012-2013"
"99","Valencia CF","ESP",12,"2012-2013"
"100","Bayern München","GER",15,"2012-2013"
"101","Borussia Dortmund","GER",11,"2012-2013"
"102","FC Schalke 04","GER",10,"2012-2013"
"103","Atletico Madrid","ESP",15,"2013-2014"
"104","FC Barcelona","ESP",16,"2013-2014"
"105","Real Madrid CF","ESP",20,"2013-2014"
"106","Real Sociedad","ESP",1,"2013-2014"
"107","Bayer 04 Leverkusen","GER",9,"2013-2014"
"108","Bayern München","GER",17,"2013-2014"
"109","Borussia Dortmund","GER",11,"2013-2014"
"110","FC Schalke 04","GER",6,"2013-2014"
"111","Athletic Bilbao","ESP",5,"2014-2015"
"112","Atletico Madrid","ESP",14,"2014-2015"
"113","FC Barcelona","ESP",15,"2014-2015"
"114","Real Madrid CF","ESP",16,"2014-2015"
"115","Bayer 04 Leverkusen","GER",7,"2014-2015"
"116","Bayern München","GER",16,"2014-2015"
"117","Borussia Dortmund","GER",14,"2014-2015"
"118","FC Schalke 04","GER",9,"2014-2015"
"119","Atletico Madrid","ESP",11,"2015-2016"
"120","FC Barcelona","ESP",15,"2015-2016"
"121","Real Madrid CF","ESP",19,"2015-2016"
"122","Sevilla FC","ESP",8,"2015-2016"
"123","Valencia CF","ESP",5,"2015-2016"
"124","Bayer 04 Leverkusen","GER",13,"2015-2016"
"125","Bayern München","GER",19,"2015-2016"
"126","Borussia Monchengladbach","GER",8,"2015-2016"
"127","VfL Wolfsburg","GER",9,"2015-2016"
