",""Team"",""Country"",""Score"",""Year"", ""Points"""
"1,""Real Madrid CF"",""ESP"",12,""1995-1996"",10"
"2,""Borussia Dortmund"",""GER"",8,""1995-1996"",9"
"3,""Atletico Madrid"",""ESP"",14,""1996-1997"",13"
"4,""Borussia Dortmund"",""GER"",23,""1996-1997"",13"
"5,""FC Barcelona"",""ESP"",11,""1997-1998"",5"
"6,""Real Madrid CF"",""ESP"",22,""1997-1998"",13"
"7,""Bayer 04 Leverkusen"",""GER"",18,""1997-1998"",13"
"8,""Bayern München"",""GER"",13,""1997-1998"",12"
"9,""Borussia Dortmund"",""GER"",14,""1997-1998"",15"
"10,""Athletic Bilbao"",""ESP"",7,""1998-1999"",6"
"11,""FC Barcelona"",""ESP"",11,""1998-1999"",8"
"12,""Real Madrid CF"",""ESP"",18,""1998-1999"",12"
"13,""1. FC Kaiserslautern"",""GER"",12,""1998-1999"",13"
"14,""Bayern München"",""GER"",25,""1998-1999"",11"
"15,""FC Barcelona"",""ESP"",43,""1999-2000"",14"
"16,""Real Madrid CF"",""ESP"",15,""1999-2000"",13"
"17,""Valencia CF"",""ESP"",8,""1999-2000"",12"
"18,""Bayer 04 Leverkusen"",""GER"",7,""1999-2000"",7"
"19,""Bayern München"",""GER"",7,""1999-2000"",9"
"20,""Borussia Dortmund"",""GER"",7,""1999-2000"",6"
"21,""Hertha BSC"",""GER"",7,""1999-2000"",8"
"22,""Deportivo La Coruna"",""ESP"",6,""2000-2001"",10"
"23,""FC Barcelona"",""ESP"",13,""2000-2001"",8"
"24,""Real Madrid CF"",""ESP"",15,""2000-2001"",13"
"25,""Valencia CF"",""ESP"",7,""2000-2001"",13"
"26,""Bayer 04 Leverkusen"",""GER"",9,""2000-2001"",7"
"27,""Bayern München"",""GER"",9,""2000-2001"",11"
"28,""Hamburger SV"",""GER"",9,""2000-2001"",6"
"29,""Deportivo La Coruna"",""ESP"",10,""2001-2002"",10"
"30,""FC Barcelona"",""ESP"",12,""2001-2002"",15"
"31,""RCD Mallorca"",""ESP"",4,""2001-2002"",9"
"32,""Real Madrid CF"",""ESP"",13,""2001-2002"",13"
"33,""Bayer 04 Leverkusen"",""GER"",10,""2001-2002""12"
"34,""Bayern München"",""GER"",14,""2001-2002"",14"
"35,""Borussia Dortmund"",""GER"",6,""2001-2002"",8"
"36,""FC Schalke 04"",""GER"",9,""2001-2002"",6"
"37,""Deportivo La Coruna"",""ESP"",11,""2002-2003"",12"
"38,""FC Barcelona"",""ESP"",13,""2002-2003"",18"
"39,""Real Madrid CF"",""ESP"",15,""2002-2003"",9"
"40,""Valencia CF"",""ESP"",17,""2002-2003"",16"
"41,""Bayer 04 Leverkusen"",""GER"",9,""2002-2003"",9"
"42,""Bayern München"",""GER"",9,""2002-2003"",2"
"43,""Borussia Dortmund"",""GER"",8,""2002-2003"",10"
